CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.996575) : (0.993426)) : (x<50 ? 0.989736:0.990057)) : (x<100 ? (x<80 ? (x<70 ? 0.989859:0.988486) : (0.98739)) : (x<120 ? 0.985417:0.988443))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.988278:0.986916) : (0.987121)) : (x<400 ? 0.990856:0.987617)) : (x<800 ? (x<670 ? 1.01086:0.999093) : (x<1000 ? 1.04879:0)))"
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.02558) : (1.01382)) : (x<50 ? 0.994626:0.999015)) : (x<100 ? (x<80 ? (x<70 ? 0.992179:0.993163) : (0.987011)) : (x<120 ? 0.986577:1.00223))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.0096:1.00466) : (1.03288)) : (x<400 ? 1.07286:1.08376)) : (x<800 ? (x<670 ? 1.16661:1.27239) : (x<1000 ? 1.2999:0)))"
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.49178) : (1.44899)) : (x<50 ? 1.45367:1.48785)) : (x<100 ? (x<80 ? (x<70 ? 1.48876:1.49658) : (1.50374)) : (x<120 ? 1.5207:1.61757))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.72861:1.87661) : (1.94864)) : (x<400 ? 2.15135:2.53278)) : (x<800 ? (x<670 ? 2.98777:3.21735) : (x<1000 ? 3.56723:0)))"
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.994734) : (0.991774)) : (x<50 ? 0.988137:0.988437)) : (x<100 ? (x<80 ? (x<70 ? 0.988157:0.986658) : (0.985911)) : (x<120 ? 0.983583:0.986608))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.985482:0.982062) : (0.979722)) : (x<400 ? 0.979919:0.971081)) : (x<800 ? (x<670 ? 0.988161:0.955229) : (x<1000 ? 0.986852:0)))"
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.02213) : (1.01044)) : (x<50 ? 0.991052:0.995162)) : (x<100 ? (x<80 ? (x<70 ? 0.987959:0.988474) : (0.98313)) : (x<120 ? 0.981608:0.997221))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00187:0.991466) : (1.01259)) : (x<400 ? 1.04362:1.0469)) : (x<800 ? (x<670 ? 1.11052:1.11359) : (x<1000 ? 1.04875:0)))"
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.48751) : (1.44459)) : (x<50 ? 1.4483:1.48151)) : (x<100 ? (x<80 ? (x<70 ? 1.48151:1.48841) : (1.49679)) : (x<120 ? 1.51145:1.60807))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.71367:1.85131) : (1.91264)) : (x<400 ? 2.09951:2.45006)) : (x<800 ? (x<670 ? 2.85465:2.92135) : (x<1000 ? 3.08888:0)))"
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.998417) : (0.995079)) : (x<50 ? 0.991334:0.991678)) : (x<100 ? (x<80 ? (x<70 ? 0.991562:0.990313) : (0.988868)) : (x<120 ? 0.98725:0.990277))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.991074:0.991769) : (0.99452)) : (x<400 ? 1.00179:1.00415)) : (x<800 ? (x<670 ? 1.03357:1.04296) : (x<1000 ? 1.11074:0)))"
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.02903) : (1.01721)) : (x<50 ? 0.9982:1.00287)) : (x<100 ? (x<80 ? (x<70 ? 0.996399:0.997851) : (0.990891)) : (x<120 ? 0.991546:1.00724))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01732:1.01785) : (1.05317)) : (x<400 ? 1.1021:1.12062)) : (x<800 ? (x<670 ? 1.2227:1.43119) : (x<1000 ? 1.55105:0)))"
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.49604) : (1.45339)) : (x<50 ? 1.45904:1.49418)) : (x<100 ? (x<80 ? (x<70 ? 1.49601:1.50474) : (1.51068)) : (x<120 ? 1.52996:1.62707))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.74354:1.90192) : (1.98464)) : (x<400 ? 2.20319:2.61551)) : (x<800 ? (x<670 ? 3.12088:3.51334) : (x<1000 ? 4.04558:0)))"
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.943388) : (0.950158)) : (x<50 ? 0.946719:0.950268)) : (x<100 ? (x<80 ? (x<70 ? 0.949714:0.946783) : (0.946615)) : (x<120 ? 0.942133:0.944613))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.942324:0.931784) : (0.929819)) : (x<400 ? 0.918163:0.906767)) : (x<800 ? (x<670 ? 0.915891:0.878004) : (x<1000 ? 0.9353:0)))"
