DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.998701+(-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.998701+(-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.998701+((-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))-0.054601699113845825)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.998701+((-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))-0.016488336026668549)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.998701+((-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))-0.022606976330280304)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.998701+((-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))-0.022865038365125656)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.998701+((-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))-0.01847083680331707)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.998701+((-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))-0.018276309594511986)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.998701+((-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))-0.031973324716091156)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.998701+((-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))-0.075363554060459137)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.998701+((-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))-0.20135617256164551)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.998701+((-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))-0.02184068039059639)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.998701+((-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))-0.0065953340381383896)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.998701+((-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))-0.0090427901595830917)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.998701+((-(0.000779789*(log(x+19)*(log(x+18)*(3-(0.431133*log(x+18)))))))-0.0091460151597857475)" 
